numberOfNodes,numberOfOperations
338,575959
339,579358
340,582767
341,586186
342,589615
343,593054
344,596503
345,599962
346,603431
347,606910
348,610399
349,613898
350,617407
351,620926
352,624455
353,627994
354,631543
355,635102
356,638671
357,642250
358,645839
359,649438
360,653047
361,656666
362,660295
363,663934
364,667583
365,671242
366,674911
367,678590
368,682279
369,685978
370,689687
371,693406
372,697135
373,700874
374,704623
375,708382
376,712151
377,715930
378,719719
379,723518
380,727327
381,731146
382,734975
383,738814
384,742663
385,746522
386,750391
387,754270
388,758159
389,762058
390,765967
391,769886
392,773815
393,777754
394,781703
395,785662
396,789631
397,793610
398,797599
399,801598
400,805607
401,809626
402,813655
403,817694
404,821743
405,825802
406,829871
407,833950
408,838039
409,842138
410,846247
411,850366
412,854495
413,858634
414,862783
415,866942
416,871111
417,875290
418,879479
419,883678
420,887887
421,892106
422,896335
423,900574
424,904823
425,909082
426,913351
427,917630
428,921919
429,926218
430,930527
431,934846
432,939175
433,943514
434,947863
435,952222
436,956591
437,960970
438,965359
439,969758
440,974167
441,978586
442,983015
443,987454
444,991903
445,996362
446,1000831
447,1005310
448,1009799
449,1014298
450,1018807
451,1023326
452,1027855
453,1032394
454,1036943
455,1041502
456,1046071
457,1050650
458,1055239
459,1059838
460,1064447
461,1069066
462,1073695
463,1078334
464,1082983
465,1087642
466,1092311
467,1096990
468,1101679
469,1106378
470,1111087
471,1115806
472,1120535
473,1125274
474,1130023
475,1134782
476,1139551
477,1144330
478,1149119
479,1153918
480,1158727
481,1163546
482,1168375
483,1173214
484,1178063
485,1182922
486,1187791
487,1192670
488,1197559
489,1202458
490,1207367
491,1212286
492,1217215
493,1222154
494,1227103
495,1232062
496,1237031
497,1242010
498,1246999
499,1251998
500,1257007
501,1262026
502,1267055
503,1272094
504,1277143
505,1282202
506,1287271
507,1292350
508,1297439
509,1302538
510,1307647
511,1312766
512,1317895
513,1323034
514,1328183
515,1333342
516,1338511
517,1343690
518,1348879
519,1354078
520,1359287
521,1364506
522,1369735
523,1374974
524,1380223
525,1385482
526,1390751
527,1396030
528,1401319
529,1406618
530,1411927
531,1417246
532,1422575
533,1427914
534,1433263
535,1438622
536,1443991
537,1449370
538,1454759
539,1460158
540,1465567
541,1470986
542,1476415
543,1481854
544,1487303
545,1492762
546,1498231
547,1503710
548,1509199
549,1514698
550,1520207
551,1525726
552,1531255
553,1536794
554,1542343
555,1547902
556,1553471
557,1559050
558,1564639
559,1570238
560,1575847
561,1581466
562,1587095
563,1592734
564,1598383
565,1604042
566,1609711
567,1615390
568,1621079
569,1626778
570,1632487
571,1638206
572,1643935
573,1649674
574,1655423
575,1661182
576,1666951
577,1672730
578,1678519
579,1684318
580,1690127
581,1695946
582,1701775
583,1707614
584,1713463
585,1719322
586,1725191
587,1731070
588,1736959
589,1742858
590,1748767
591,1754686
592,1760615
593,1766554
594,1772503
595,1778462
596,1784431
597,1790410
598,1796399
599,1802398
600,1808407
601,1814426
602,1820455
603,1826494
604,1832543
605,1838602
606,1844671
607,1850750
608,1856839
609,1862938
610,1869047
611,1875166
612,1881295
613,1887434
614,1893583
615,1899742
616,1905911
617,1912090
618,1918279
619,1924478
620,1930687
621,1936906
622,1943135
623,1949374
624,1955623
625,1961882
626,1968151
627,1974430
628,1980719
629,1987018
630,1993327
631,1999646
632,2005975
633,2012314
634,2018663
635,2025022
636,2031391
637,2037770
638,2044159
639,2050558
640,2056967
641,2063386
642,2069815
643,2076254
644,2082703
645,2089162
646,2095631
647,2102110
648,2108599
649,2115098
650,2121607
651,2128126
652,2134655
653,2141194
654,2147743
655,2154302
656,2160871
657,2167450
658,2174039
659,2180638
660,2187247
661,2193866
662,2200495
663,2207134
664,2213783
665,2220442
666,2227111
667,2233790
668,2240479
669,2247178
670,2253887
671,2260606
672,2267335
673,2274074
674,2280823
675,2287582
676,2294351
677,2301130
678,2307919
679,2314718
